elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,horizontal_distance_to_fire_points,wilderness_area,soil_type,cover_type
2501,91,21,95,51,726,247,202,75,402,cache_la_poudre,10,2
2504,321,7,150,45,240,203,234,170,301,cache_la_poudre,10,2
2505,315,14,60,2,234,183,228,185,684,cache_la_poudre,10,2
2505,320,17,95,28,511,174,221,186,564,cache_la_poudre,10,2
2506,254,17,228,73,488,179,249,207,190,cache_la_poudre,10,2
2508,99,31,60,21,703,252,179,30,1052,cache_la_poudre,4,2
2508,304,18,134,45,750,169,228,199,631,cache_la_poudre,10,2
2509,223,16,180,49,907,198,253,189,700,cache_la_poudre,10,2
2510,318,29,277,124,721,132,200,201,1242,cache_la_poudre,10,2
2511,13,14,108,34,1034,206,211,141,741,cache_la_poudre,6,2
2511,59,11,90,19,228,228,218,121,499,cache_la_poudre,6,2
2511,274,7,247,71,330,202,242,179,285,cache_la_poudre,6,2
2511,278,24,283,129,875,146,235,224,1302,cache_la_poudre,10,2
2513,254,10,190,29,1234,198,247,187,883,cache_la_poudre,6,2
2515,3,16,339,141,891,197,208,146,1452,cache_la_poudre,10,2
2515,220,14,228,32,421,203,253,184,212,cache_la_poudre,6,2
2516,14,10,67,15,1015,211,220,145,895,cache_la_poudre,6,2
2516,248,19,210,52,1301,176,250,209,830,cache_la_poudre,10,2
2517,128,18,212,67,604,247,226,100,285,cache_la_poudre,6,2
2517,254,11,162,57,942,195,247,191,684,cache_la_poudre,6,2
2519,24,10,85,11,987,215,218,139,888,cache_la_poudre,6,2
2519,262,10,108,12,899,195,245,189,1061,cache_la_poudre,6,2
2519,296,28,67,27,618,131,219,222,1041,cache_la_poudre,10,2
2519,309,13,190,59,787,183,231,188,691,cache_la_poudre,10,2
2520,106,3,30,2,42,226,235,145,752,cache_la_poudre,10,2
2520,268,14,95,13,1006,183,245,201,1082,cache_la_poudre,6,2
2520,277,16,120,26,319,174,241,206,679,cache_la_poudre,10,2
2521,221,13,108,20,1073,204,252,183,1024,cache_la_poudre,6,2
2522,241,6,175,37,957,209,245,174,713,cache_la_poudre,6,2
2522,301,10,277,55,150,192,236,183,451,cache_la_poudre,6,2
2523,30,9,247,51,524,218,220,138,212,cache_la_poudre,6,2
2523,264,9,192,16,819,199,244,185,1114,cache_la_poudre,6,2
2523,284,19,295,137,908,165,237,211,1315,cache_la_poudre,10,2
2523,311,10,330,152,912,194,233,179,1426,cache_la_poudre,10,2
2524,251,24,242,97,1237,162,248,220,648,cache_la_poudre,10,2
2525,12,11,201,17,787,209,217,145,1050,cache_la_poudre,6,2
2525,270,4,212,17,792,208,241,171,1112,cache_la_poudre,6,2
2525,312,19,182,55,573,164,222,196,646,cache_la_poudre,10,2
2525,316,19,162,53,531,166,220,193,631,cache_la_poudre,10,2
2525,350,7,134,32,1008,208,228,159,800,cache_la_poudre,6,2
2526,277,6,162,25,984,205,241,175,794,cache_la_poudre,6,2
2526,304,11,330,149,939,191,235,184,1398,cache_la_poudre,10,2
2528,283,20,240,101,1271,162,237,213,765,cache_la_poudre,10,2
2529,32,9,162,21,864,218,221,139,902,cache_la_poudre,6,2
2530,30,9,150,38,150,218,220,137,524,cache_la_poudre,6,2
2531,101,5,228,48,503,228,233,139,212,cache_la_poudre,6,2
2531,259,5,247,48,466,208,243,173,190,cache_la_poudre,6,2
2531,285,9,218,24,845,194,240,186,1180,cache_la_poudre,6,2
2533,293,19,67,20,150,165,233,207,808,cache_la_poudre,10,2
2534,283,19,270,107,1224,165,237,211,700,cache_la_poudre,10,2
2535,18,8,242,27,825,215,224,146,840,cache_la_poudre,6,2
2535,27,4,190,27,836,218,230,149,900,cache_la_poudre,6,2
2535,197,10,283,50,1209,218,249,165,812,cache_la_poudre,6,2
2537,227,10,300,52,1182,206,249,179,811,cache_la_poudre,6,2
2538,295,19,85,20,134,162,231,207,834,cache_la_poudre,10,2
2540,38,8,242,14,655,220,222,137,1027,cache_la_poudre,6,2
2542,295,18,95,30,175,166,232,205,824,cache_la_poudre,10,2
2542,307,14,150,44,268,181,231,190,787,cache_la_poudre,10,2
2542,319,17,268,82,778,175,222,187,755,cache_la_poudre,6,2
2543,299,21,242,76,616,157,227,208,702,cache_la_poudre,10,2
2544,279,17,300,117,1195,173,240,207,696,cache_la_poudre,6,2
2544,323,29,339,157,691,134,196,194,1182,cache_la_poudre,10,2
2547,356,11,395,78,120,202,220,155,702,cache_la_poudre,10,2
2550,267,9,272,49,1127,197,244,186,900,cache_la_poudre,6,2
2551,74,3,242,82,1020,224,233,144,994,cache_la_poudre,6,2
2552,261,15,331,125,1150,183,247,202,633,cache_la_poudre,6,2
2552,300,11,313,45,778,188,235,188,1146,cache_la_poudre,6,2
2554,88,8,180,33,127,232,227,128,789,cache_la_poudre,6,2
2556,348,9,258,79,912,203,225,161,1090,cache_la_poudre,6,2
2558,85,10,210,37,124,235,222,118,755,cache_la_poudre,6,2
2559,227,13,295,82,845,202,252,185,1110,cache_la_poudre,6,2
2559,261,13,335,52,725,188,247,197,1154,cache_la_poudre,6,2
2560,288,15,240,68,360,178,238,200,828,cache_la_poudre,10,2
2563,34,14,297,37,685,217,208,123,853,cache_la_poudre,6,2
2563,289,31,201,130,417,120,219,231,1008,cache_la_poudre,10,2
2568,298,14,270,80,360,181,235,193,850,cache_la_poudre,10,2
2568,303,14,240,74,300,180,232,193,870,cache_la_poudre,10,2
2570,144,32,218,83,674,245,214,70,934,cache_la_poudre,4,2
2570,324,25,426,190,771,150,204,190,1154,cache_la_poudre,10,2
2572,322,9,323,104,582,198,232,173,792,cache_la_poudre,6,2
2584,115,27,180,97,750,254,202,57,1022,cache_la_poudre,4,2
2592,324,30,426,206,671,131,193,194,1107,cache_la_poudre,10,2
2594,330,23,458,211,713,161,206,182,1101,cache_la_poudre,10,2
2596,358,17,480,75,242,192,207,151,830,cache_la_poudre,10,2
2599,104,21,180,112,782,250,209,77,1082,cache_la_poudre,11,2
2606,300,21,268,158,484,158,227,208,1073,cache_la_poudre,10,2
2610,0,18,335,196,323,192,205,148,914,cache_la_poudre,10,2
2613,358,14,459,199,313,197,212,152,902,cache_la_poudre,6,2
2618,29,10,474,82,335,217,219,137,924,cache_la_poudre,6,2
2623,310,7,335,209,418,200,235,175,1008,cache_la_poudre,6,2
2624,111,11,451,113,660,238,229,119,930,cache_la_poudre,11,2
2632,331,26,488,246,582,150,197,182,1032,cache_la_poudre,10,2
1866,23,14,85,16,108,212,210,133,819,cache_la_poudre,2,3
1879,23,18,108,28,134,207,200,124,875,cache_la_poudre,2,3
1901,189,10,0,0,30,221,247,160,451,cache_la_poudre,1,3
1905,77,21,90,38,120,241,196,75,1025,cache_la_poudre,3,3
1910,37,24,0,0,30,211,180,94,285,cache_la_poudre,10,3
1916,70,19,120,49,150,237,198,85,1015,cache_la_poudre,3,3
1924,95,15,150,48,182,243,216,98,931,cache_la_poudre,3,3
1929,154,18,108,30,124,238,238,123,771,cache_la_poudre,3,3
1934,52,19,30,5,30,226,196,0,469,cache_la_poudre,1,3
1935,350,16,0,0,120,190,212,159,525,cache_la_poudre,10,3
1937,325,29,30,23,67,135,194,191,443,cache_la_poudre,10,3
1938,352,3,0,0,30,214,233,158,306,cache_la_poudre,10,3
1939,47,20,150,72,180,222,192,96,1048,cache_la_poudre,3,3
1944,145,19,150,45,162,243,233,110,794,cache_la_poudre,3,3
1944,352,32,30,20,67,147,167,146,551,cache_la_poudre,10,3
1945,31,43,30,24,60,170,110,40,309,cache_la_poudre,10,3
1945,68,21,30,5,30,236,193,79,351,cache_la_poudre,1,3
1952,132,13,30,0,60,241,233,119,408,cache_la_poudre,1,3
1953,92,35,30,18,60,248,162,0,376,cache_la_poudre,1,3
1953,331,39,30,26,42,104,163,181,649,cache_la_poudre,10,3
1953,343,32,30,24,67,139,174,163,618,cache_la_poudre,10,3
1954,103,13,190,55,212,241,223,109,859,cache_la_poudre,3,3
1956,48,24,30,14,180,221,182,83,582,cache_la_poudre,1,3
1956,89,23,127,51,134,247,197,67,696,cache_la_poudre,3,3
1957,312,26,67,42,124,141,211,206,474,cache_la_poudre,10,3
1959,113,28,242,83,277,254,199,52,942,cache_la_poudre,3,3
1963,43,33,30,25,95,207,150,55,569,cache_la_poudre,1,3
1964,8,28,67,40,108,175,172,124,541,cache_la_poudre,10,3
1966,302,39,108,71,150,89,192,228,366,cache_la_poudre,10,3
1966,322,42,108,81,95,83,160,197,190,cache_la_poudre,10,3
1966,335,36,124,73,120,118,167,174,124,cache_la_poudre,10,3
1967,81,14,120,35,120,238,214,104,256,cache_la_poudre,6,3
1967,312,42,108,86,85,79,172,214,228,cache_la_poudre,10,3
1968,91,22,150,63,162,247,199,70,693,cache_la_poudre,3,3
1968,113,24,30,8,85,253,208,69,272,cache_la_poudre,1,3
1969,39,26,90,37,90,212,175,85,218,cache_la_poudre,6,3
1970,278,40,95,77,124,85,211,247,180,cache_la_poudre,10,3
1973,322,42,124,83,108,86,163,197,153,cache_la_poudre,10,3
1974,51,38,67,54,108,209,131,24,371,cache_la_poudre,1,3
1975,91,42,30,23,60,243,141,0,108,cache_la_poudre,1,3
1976,334,41,42,36,67,98,153,174,659,cache_la_poudre,10,3
1977,14,29,95,57,134,180,169,113,558,cache_la_poudre,10,3
1979,24,41,85,71,108,165,122,64,361,cache_la_poudre,10,3
1979,261,15,150,88,150,183,247,202,525,cache_la_poudre,1,3
1980,112,32,67,33,108,254,186,32,458,cache_la_poudre,1,3
1981,34,38,42,27,108,187,133,53,283,cache_la_poudre,10,3
1981,138,17,90,15,162,244,232,110,484,cache_la_poudre,3,3
1981,162,23,60,5,201,235,238,120,466,cache_la_poudre,3,3
1982,97,30,85,35,124,251,181,34,443,cache_la_poudre,1,3
1984,307,26,42,19,272,141,215,210,594,cache_la_poudre,10,3
1986,8,18,0,0,330,195,200,139,658,cache_la_poudre,10,3
1988,42,41,60,38,85,192,121,30,228,cache_la_poudre,10,3
1990,344,26,150,66,192,158,190,164,531,cache_la_poudre,10,3
1991,40,39,67,47,95,192,126,38,268,cache_la_poudre,10,3
1991,84,30,270,124,300,246,174,35,1027,cache_la_poudre,3,3
1992,293,24,42,6,301,146,227,217,616,cache_la_poudre,10,3
1993,291,41,127,96,150,78,197,240,300,cache_la_poudre,10,3
1994,100,29,270,127,300,252,187,41,997,cache_la_poudre,3,3
1995,14,33,124,61,162,171,155,104,576,cache_la_poudre,10,3
1995,20,37,42,30,108,168,136,81,242,cache_la_poudre,10,3
1997,346,10,0,0,67,201,225,162,323,cache_la_poudre,17,3
1998,168,25,67,10,242,230,240,126,503,cache_la_poudre,3,3
1999,15,13,108,14,190,208,212,140,424,cache_la_poudre,1,3
2001,95,35,108,54,150,250,167,0,470,cache_la_poudre,1,3
2002,81,25,150,6,124,244,188,60,124,cache_la_poudre,6,3
2002,170,27,30,6,180,228,239,125,218,cache_la_poudre,6,3
2003,29,38,67,49,127,179,132,61,258,cache_la_poudre,10,3
2005,245,5,0,0,234,210,244,172,342,cache_la_poudre,17,3
2005,292,36,90,63,256,98,207,236,531,cache_la_poudre,10,3
2005,334,10,0,0,42,197,227,169,765,cache_la_poudre,17,3
2006,66,20,277,45,400,235,196,85,30,cache_la_poudre,5,3
2006,80,39,60,58,90,238,142,0,124,cache_la_poudre,1,3
2006,168,24,0,0,350,230,241,127,551,cache_la_poudre,3,3
2006,177,15,67,16,120,226,247,150,162,cache_la_poudre,6,3
2007,33,35,67,51,162,190,142,64,503,cache_la_poudre,10,3
2007,262,29,30,10,120,138,240,233,212,cache_la_poudre,5,3
2008,235,31,0,0,108,153,249,220,256,cache_la_poudre,5,3
2009,75,24,190,0,175,241,187,63,175,cache_la_poudre,6,3
2011,90,33,228,99,242,248,170,24,691,cache_la_poudre,3,3
2012,79,15,90,-2,400,239,211,98,531,cache_la_poudre,6,3
2015,45,35,30,24,210,204,141,44,470,cache_la_poudre,10,3
2016,67,18,120,1,395,235,201,91,509,cache_la_poudre,6,3
2017,339,23,335,32,408,164,200,170,272,cache_la_poudre,5,3
2019,47,43,85,66,150,195,114,14,319,cache_la_poudre,10,3
2019,55,24,190,50,270,227,182,76,319,cache_la_poudre,6,3
2019,138,28,150,67,182,249,218,77,395,cache_la_poudre,1,3
2019,236,7,30,2,598,208,246,176,430,cache_la_poudre,1,3
2021,167,32,60,17,182,227,232,111,212,cache_la_poudre,6,3
2022,85,20,134,62,180,244,203,80,365,cache_la_poudre,1,3
2023,345,28,360,36,402,153,184,161,218,cache_la_poudre,5,3
2024,26,38,85,75,108,175,132,67,134,cache_la_poudre,10,3
2024,74,20,42,3,485,239,199,82,638,cache_la_poudre,6,3
2025,95,36,127,77,175,249,163,10,497,cache_la_poudre,1,3
2026,46,19,180,11,390,222,195,101,469,cache_la_poudre,6,3
2026,247,29,67,28,242,148,247,227,430,cache_la_poudre,5,3
2026,301,30,30,19,67,124,211,221,738,cache_la_poudre,17,3
2026,325,25,247,31,301,151,205,190,150,cache_la_poudre,5,3
2027,189,24,0,0,443,213,249,156,624,cache_la_poudre,3,3
2028,46,39,85,78,108,200,127,28,175,cache_la_poudre,10,3
2028,110,39,124,80,210,252,167,0,492,cache_la_poudre,1,3
2028,116,35,300,123,309,254,183,24,782,cache_la_poudre,3,3
2028,325,21,42,16,108,163,212,187,834,cache_la_poudre,17,3
2029,117,39,124,81,182,252,174,11,525,cache_la_poudre,1,3
2029,269,13,424,44,510,185,244,199,402,cache_la_poudre,5,3
2030,121,36,319,127,319,253,185,26,841,cache_la_poudre,3,3
2030,137,30,30,11,511,249,213,68,395,cache_la_poudre,1,3
2030,326,26,85,23,134,146,201,189,674,cache_la_poudre,10,3
2031,59,34,42,11,256,223,149,33,691,cache_la_poudre,1,3
2031,69,19,42,4,524,237,199,87,680,cache_la_poudre,6,3
2032,40,20,0,0,335,217,191,101,768,cache_la_poudre,1,3
2032,78,33,182,124,216,241,161,24,532,cache_la_poudre,1,3
2033,15,31,95,68,162,176,159,104,192,cache_la_poudre,1,3
2033,75,22,162,73,210,241,194,74,395,cache_la_poudre,1,3
2033,249,35,60,25,153,125,239,236,190,cache_la_poudre,5,3
2034,151,26,127,32,283,242,229,99,589,cache_la_poudre,3,3
2035,354,18,85,25,134,188,206,154,782,cache_la_poudre,10,3
2036,310,31,67,32,153,122,202,212,582,cache_la_poudre,10,3
2039,12,26,134,17,212,184,178,121,300,cache_la_poudre,10,3
2039,112,33,162,106,182,254,186,32,391,cache_la_poudre,1,3
2039,293,26,30,16,459,137,223,222,693,cache_la_poudre,10,3
2040,13,33,162,120,201,170,155,104,638,cache_la_poudre,10,3
2040,246,18,85,17,552,179,251,207,433,cache_la_poudre,1,3
2041,27,26,402,73,467,199,175,100,216,cache_la_poudre,5,3
2041,285,17,242,46,300,171,238,206,256,cache_la_poudre,5,3
2043,88,18,210,114,234,244,209,88,497,cache_la_poudre,1,3
2043,164,37,60,24,525,224,222,94,351,cache_la_poudre,1,3
2044,125,37,339,141,339,251,186,26,871,cache_la_poudre,3,3
2044,128,34,67,35,330,252,197,43,365,cache_la_poudre,6,3
2044,346,30,391,57,443,147,176,157,256,cache_la_poudre,5,3
2045,44,35,150,135,175,204,144,49,430,cache_la_poudre,1,3
2045,276,27,30,16,390,138,234,230,638,cache_la_poudre,1,3
2046,29,25,331,85,430,202,176,99,190,cache_la_poudre,5,3
2047,25,23,433,80,499,201,184,111,268,cache_la_poudre,5,3
2047,335,21,492,68,591,168,207,176,371,cache_la_poudre,5,3
2048,46,31,67,28,268,211,156,58,693,cache_la_poudre,1,3
2048,138,19,30,-1,604,246,229,103,792,cache_la_poudre,2,3
2048,306,37,190,163,218,96,191,221,95,cache_la_poudre,10,3
2049,312,44,216,160,201,70,166,215,85,cache_la_poudre,10,3
2050,91,32,258,44,295,249,172,25,696,cache_la_poudre,3,3
2050,260,20,90,27,524,167,246,215,450,cache_la_poudre,1,3
2051,53,24,85,19,579,226,182,77,721,cache_la_poudre,6,3
2052,55,27,150,37,484,224,170,62,576,cache_la_poudre,6,3
2053,303,32,67,46,108,118,206,220,698,cache_la_poudre,10,3
2054,63,30,180,45,256,230,164,46,256,cache_la_poudre,6,3
2054,96,35,360,187,390,250,168,16,1020,cache_la_poudre,3,3
2054,287,34,67,50,242,108,215,237,511,cache_la_poudre,10,3
2054,333,33,182,32,192,129,180,180,234,cache_la_poudre,10,3
2055,10,23,408,70,492,188,186,128,342,cache_la_poudre,5,3
2055,102,22,240,126,258,250,205,72,485,cache_la_poudre,1,3
2055,171,28,95,36,564,226,239,126,350,cache_la_poudre,1,3
2055,305,37,190,159,277,96,192,223,408,cache_la_poudre,10,3
2055,312,28,42,19,566,134,207,207,571,cache_la_poudre,17,3
2055,332,33,42,25,300,126,178,180,426,cache_la_poudre,10,3
2055,338,24,499,75,616,162,199,172,395,cache_la_poudre,5,3
2056,87,32,201,123,218,247,170,27,402,cache_la_poudre,1,3
2058,14,19,30,4,937,200,199,131,342,cache_la_poudre,17,3
2058,38,36,134,108,162,194,137,51,212,cache_la_poudre,10,3
2058,127,25,212,101,256,252,215,75,446,cache_la_poudre,1,3
2060,12,19,175,64,277,196,197,133,283,cache_la_poudre,5,3
2060,114,38,162,112,240,253,174,12,534,cache_la_poudre,1,3
2061,162,34,90,42,537,229,226,97,335,cache_la_poudre,1,3
2062,128,34,85,49,360,252,196,41,395,cache_la_poudre,6,3
2062,233,36,85,54,339,139,244,222,313,cache_la_poudre,1,3
2063,359,20,0,0,547,186,199,147,607,cache_la_poudre,10,3
2064,351,17,162,69,212,188,209,157,270,cache_la_poudre,5,3
2065,131,32,85,46,390,252,204,54,430,cache_la_poudre,6,3
2066,310,27,150,61,201,137,210,209,684,cache_la_poudre,10,3
2067,48,33,85,23,212,211,150,49,480,cache_la_poudre,10,3
2068,341,26,525,88,636,155,190,168,391,cache_la_poudre,5,3
2069,110,29,268,138,283,254,193,44,474,cache_la_poudre,1,3
2069,258,29,30,12,420,139,242,232,297,cache_la_poudre,4,3
2070,38,32,192,105,234,202,154,67,120,cache_la_poudre,10,3
2071,43,28,390,204,390,213,167,73,992,cache_la_poudre,5,3
2071,166,31,124,52,552,229,232,110,324,cache_la_poudre,1,3
2073,72,34,192,116,234,235,154,0,95,cache_la_poudre,1,3
2073,279,28,30,21,390,133,231,231,319,cache_la_poudre,4,3
2074,131,34,108,65,361,251,198,44,391,cache_la_poudre,6,3
2074,288,30,90,70,218,124,221,230,553,cache_la_poudre,10,3
2075,92,25,201,33,300,249,193,58,655,cache_la_poudre,1,3
2075,99,31,153,47,270,252,182,33,531,cache_la_poudre,1,3
2075,352,26,170,67,277,165,184,151,242,cache_la_poudre,5,3
2077,230,34,95,71,319,150,247,217,285,cache_la_poudre,1,3
2077,326,26,309,148,350,148,202,189,607,cache_la_poudre,10,3
2077,344,25,558,97,624,163,193,164,331,cache_la_poudre,5,3
2078,13,33,247,146,297,168,153,104,451,cache_la_poudre,10,3
2078,31,32,42,24,541,194,155,78,589,cache_la_poudre,10,3
2078,123,33,313,14,376,253,194,39,819,cache_la_poudre,3,3
2079,22,33,108,62,175,181,153,90,573,cache_la_poudre,10,3
2079,61,32,67,35,242,226,155,37,510,cache_la_poudre,10,3
2079,294,26,108,75,277,137,222,221,509,cache_la_poudre,10,3
2079,314,32,42,28,360,120,197,208,361,cache_la_poudre,10,3
2081,22,23,450,73,558,200,186,114,379,cache_la_poudre,5,3
2081,245,33,162,83,313,136,244,231,450,cache_la_poudre,5,3
2081,305,23,30,13,603,150,221,208,153,cache_la_poudre,4,3
2081,327,33,60,37,85,124,183,189,942,cache_la_poudre,10,3
2082,95,27,301,151,324,251,189,49,488,cache_la_poudre,1,3
2083,253,33,85,55,379,127,239,237,595,cache_la_poudre,1,3
