elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,horizontal_distance_to_fire_points,wilderness_area,soil_type,cover_type
2384,339,26,42,15,607,157,194,171,1421,cache_la_poudre,10,2
2385,350,25,60,23,594,166,189,155,1348,cache_la_poudre,10,2
2386,250,16,0,0,691,183,250,204,1441,cache_la_poudre,10,2
2389,22,30,60,30,552,186,161,96,1216,cache_la_poudre,10,2
2391,25,26,283,119,384,196,174,102,1064,cache_la_poudre,10,2
2391,297,36,256,99,295,100,202,230,890,cache_la_poudre,10,2
2394,16,31,60,38,573,177,159,103,1245,cache_la_poudre,10,2
2397,0,37,60,38,642,142,147,123,1332,cache_la_poudre,10,2
2397,56,22,120,48,552,228,187,81,1177,cache_la_poudre,10,2
2398,359,37,60,39,618,142,148,125,1302,cache_la_poudre,10,2
2400,269,22,42,14,674,159,242,219,1431,cache_la_poudre,10,2
2404,296,24,67,23,860,146,225,216,1489,cache_la_poudre,10,2
2404,339,28,85,35,649,148,187,170,1464,cache_la_poudre,10,2
2406,333,28,67,37,644,146,192,179,1445,cache_la_poudre,10,2
2408,261,30,60,22,741,134,239,235,1498,cache_la_poudre,10,2
2409,281,30,60,29,824,124,226,234,1523,cache_la_poudre,10,2
2410,301,24,85,27,854,147,222,212,1465,cache_la_poudre,10,2
2410,323,17,95,45,658,173,220,185,1395,cache_la_poudre,10,2
2411,23,29,90,51,594,189,164,97,1253,cache_la_poudre,10,2
2411,322,8,30,5,390,199,232,173,297,cache_la_poudre,10,2
2416,313,19,124,45,680,164,221,196,1423,cache_la_poudre,10,2
2416,343,21,90,51,679,173,204,166,1385,cache_la_poudre,10,2
2417,41,26,120,57,594,213,175,83,1233,cache_la_poudre,10,2
2417,313,23,85,30,808,151,215,200,1434,cache_la_poudre,10,2
2418,354,32,90,53,684,150,167,142,1368,cache_la_poudre,10,2
2419,43,15,0,0,351,221,205,115,300,cache_la_poudre,10,2
2420,61,22,404,142,488,232,188,77,1036,cache_la_poudre,11,2
2420,322,22,30,10,1026,158,212,191,703,cache_la_poudre,10,2
2421,339,29,108,55,674,146,185,170,1486,cache_la_poudre,10,2
2421,357,34,90,56,661,147,158,134,1339,cache_la_poudre,10,2
2422,6,10,0,0,313,208,222,150,216,cache_la_poudre,10,2
2422,266,15,30,7,351,182,245,202,212,cache_la_poudre,10,2
2423,333,17,300,138,379,180,216,175,967,cache_la_poudre,11,2
2424,13,10,0,0,960,210,219,145,638,cache_la_poudre,10,2
2424,321,23,150,60,703,155,210,192,1452,cache_la_poudre,10,2
2425,32,27,120,66,616,203,171,90,1262,cache_la_poudre,10,2
2425,50,18,30,6,323,225,198,100,283,cache_la_poudre,10,2
2425,342,22,0,0,984,169,201,167,661,cache_la_poudre,10,2
2426,55,25,150,67,616,226,177,70,1243,cache_la_poudre,10,2
2426,315,24,108,40,800,149,212,200,1410,cache_la_poudre,10,2
2428,277,32,90,46,836,120,227,238,1507,cache_la_poudre,10,2
2428,335,28,108,58,685,147,191,176,1471,cache_la_poudre,10,2
2429,287,17,335,137,335,170,237,205,912,cache_la_poudre,11,2
2430,25,19,0,0,1296,207,196,120,782,cache_la_poudre,10,2
2430,337,24,120,65,721,160,199,174,1405,cache_la_poudre,10,2
2432,268,16,42,6,335,176,244,206,170,cache_la_poudre,10,2
2432,272,12,30,6,309,187,243,195,150,cache_la_poudre,10,2
2433,9,9,0,0,900,210,222,149,576,cache_la_poudre,10,2
2433,24,28,120,74,636,193,169,99,1290,cache_la_poudre,10,2
2433,320,24,150,68,722,153,210,194,1442,cache_la_poudre,10,2
2434,53,7,30,2,216,224,224,134,150,cache_la_poudre,10,2
2434,335,27,124,61,698,149,192,176,1490,cache_la_poudre,10,2
2435,331,26,170,72,726,151,199,182,1480,cache_la_poudre,10,2
2436,49,16,30,9,228,225,204,109,182,cache_la_poudre,10,2
2436,286,26,127,53,911,139,229,225,1431,cache_la_poudre,10,2
2436,314,25,127,49,830,146,212,202,1392,cache_la_poudre,10,2
2436,316,25,134,44,794,147,210,199,1387,cache_la_poudre,10,2
2437,44,25,150,78,636,217,176,81,1271,cache_la_poudre,10,2
2437,303,12,30,3,1302,188,234,187,805,cache_la_poudre,10,2
2437,309,24,134,51,866,148,216,206,1398,cache_la_poudre,10,2
2438,12,28,120,73,658,180,172,117,1319,cache_la_poudre,10,2
2439,40,16,30,9,1276,220,202,112,808,cache_la_poudre,10,2
2439,246,13,60,13,324,193,249,194,127,cache_la_poudre,10,2
2440,355,28,120,75,680,162,178,145,1348,cache_la_poudre,10,2
2441,256,17,67,15,350,178,248,207,150,cache_la_poudre,10,2
2441,293,9,30,4,890,195,238,183,566,cache_la_poudre,10,2
2441,329,29,134,73,711,140,192,185,1510,cache_la_poudre,10,2
2441,333,12,366,153,395,193,225,171,966,cache_la_poudre,11,2
2442,40,13,30,6,170,221,212,124,162,cache_la_poudre,10,2
2442,333,26,134,71,711,152,197,179,1495,cache_la_poudre,10,2
2444,58,20,60,18,218,230,194,88,212,cache_la_poudre,10,2
2444,272,27,120,58,765,141,236,230,1531,cache_la_poudre,10,2
2446,291,18,60,13,258,166,234,207,67,cache_la_poudre,10,2
2446,314,25,150,62,845,146,212,202,1374,cache_la_poudre,10,2
2446,315,25,150,60,819,145,210,201,1368,cache_la_poudre,10,2
2446,317,23,153,62,725,155,213,196,1500,cache_la_poudre,10,2
2446,318,25,162,58,789,146,208,198,1364,cache_la_poudre,10,2
2447,39,19,85,30,256,217,196,107,285,cache_la_poudre,10,2
2447,276,29,124,65,875,131,232,233,1466,cache_la_poudre,10,2
2449,277,28,134,69,902,135,232,231,1441,cache_la_poudre,10,2
2449,340,28,192,85,750,151,188,168,1489,cache_la_poudre,10,2
2451,304,22,42,18,949,154,223,207,624,cache_la_poudre,10,2
2451,308,16,30,11,201,176,229,193,127,cache_la_poudre,10,2
2454,284,15,30,2,872,176,239,202,552,cache_la_poudre,10,2
2454,325,23,162,77,738,157,208,188,1518,cache_la_poudre,10,2
2455,63,21,85,23,162,233,191,80,212,cache_la_poudre,10,2
2455,113,25,67,27,892,253,204,62,573,cache_la_poudre,10,2
2455,288,21,90,28,1368,156,233,215,752,cache_la_poudre,10,2
2456,15,5,60,14,1176,215,229,150,853,cache_la_poudre,10,2
2456,24,8,0,0,1207,216,224,144,882,cache_la_poudre,10,2
2456,316,26,175,64,789,143,208,200,1345,cache_la_poudre,10,2
2458,38,8,0,0,819,220,222,136,503,cache_la_poudre,10,2
2458,284,19,60,16,1273,163,237,212,875,cache_la_poudre,10,2
2460,281,7,0,0,819,200,241,180,524,cache_la_poudre,10,2
2460,290,23,90,33,1350,149,229,218,780,cache_la_poudre,10,2
2461,283,17,60,17,1256,171,239,207,902,cache_la_poudre,10,2
2462,297,21,90,29,268,157,228,210,67,cache_la_poudre,10,2
2462,326,14,30,3,150,185,224,178,216,cache_la_poudre,10,2
2463,22,22,180,98,700,200,187,116,1338,cache_la_poudre,10,2
2463,96,6,30,0,752,231,231,133,484,cache_la_poudre,10,2
2463,274,26,153,77,886,142,236,228,1451,cache_la_poudre,10,2
2463,293,14,60,23,218,180,236,196,134,cache_la_poudre,10,2
2463,311,21,180,77,765,158,220,200,1542,cache_la_poudre,10,2
2464,275,26,162,82,914,142,235,228,1425,cache_la_poudre,10,2
2465,30,13,30,7,1148,216,211,129,824,cache_la_poudre,10,2
2465,83,8,30,2,778,232,226,127,488,cache_la_poudre,10,2
2465,269,25,120,38,1361,148,239,226,713,cache_la_poudre,10,2
2465,273,24,90,37,942,148,238,225,618,cache_la_poudre,10,2
2465,275,25,175,85,930,145,236,226,1399,cache_la_poudre,10,2
2465,286,26,120,38,1368,138,228,225,741,cache_la_poudre,10,2
2466,66,17,30,12,792,234,202,94,474,cache_la_poudre,10,2
2466,315,26,192,82,812,144,210,201,1332,cache_la_poudre,10,2
2466,316,26,192,80,785,143,208,200,1326,cache_la_poudre,10,2
2466,345,27,212,97,774,159,188,161,1499,cache_la_poudre,10,2
2467,66,30,60,34,816,233,167,44,492,cache_la_poudre,10,2
2467,300,13,30,3,1209,184,235,191,886,cache_la_poudre,10,2
2468,32,3,0,0,631,219,232,150,454,cache_la_poudre,10,2
2468,269,27,67,16,912,142,238,230,591,cache_la_poudre,10,2
2468,294,17,90,33,256,169,234,203,95,cache_la_poudre,10,2
2469,254,25,150,43,433,155,246,224,182,cache_la_poudre,10,2
2469,258,21,30,9,832,167,247,216,553,cache_la_poudre,10,2
2469,293,21,180,83,792,156,230,212,1543,cache_la_poudre,10,2
2469,317,13,30,6,120,186,229,182,283,cache_la_poudre,10,2
2469,321,23,85,44,999,154,210,192,674,cache_la_poudre,10,2
2470,280,7,150,48,162,202,241,178,300,cache_la_poudre,6,2
2470,317,16,30,11,150,175,224,188,242,cache_la_poudre,10,2
2471,310,15,30,8,752,177,228,191,541,cache_la_poudre,10,2
2472,32,15,30,10,1132,216,205,122,808,cache_la_poudre,10,2
2472,77,16,30,9,60,239,209,96,297,cache_la_poudre,10,2
2472,284,23,180,86,819,151,233,219,1516,cache_la_poudre,10,2
2473,81,6,30,9,685,228,230,136,450,cache_la_poudre,10,2
2473,289,20,120,40,295,160,233,212,60,cache_la_poudre,10,2
2474,35,8,134,48,150,219,223,139,272,cache_la_poudre,6,2
2474,75,12,0,0,576,234,217,113,1149,cache_la_poudre,10,2
2474,90,7,30,7,644,231,229,130,421,cache_la_poudre,10,2
2474,103,6,30,6,591,231,232,134,430,cache_la_poudre,10,2
2474,243,26,150,41,404,161,250,219,120,cache_la_poudre,10,2
2474,289,26,120,47,1374,137,226,224,769,cache_la_poudre,10,2
2475,278,23,180,89,845,151,236,222,1489,cache_la_poudre,10,2
2475,304,20,60,13,488,159,225,204,1068,cache_la_poudre,4,2
2476,275,26,153,43,384,142,235,228,67,cache_la_poudre,10,2
2476,286,18,120,43,285,167,237,208,90,cache_la_poudre,10,2
2476,315,22,95,18,1065,156,216,198,741,cache_la_poudre,10,2
2476,323,10,30,1,1173,194,230,175,886,cache_la_poudre,10,2
2477,300,32,60,36,426,115,208,224,1003,cache_la_poudre,10,2
2477,309,17,42,12,726,170,226,196,540,cache_la_poudre,10,2
2477,352,21,210,112,743,178,198,155,1376,cache_la_poudre,10,2
2478,80,18,60,24,752,241,205,87,437,cache_la_poudre,10,2
2478,276,24,190,92,926,147,236,225,1410,cache_la_poudre,10,2
2478,329,10,108,15,30,196,228,172,309,cache_la_poudre,6,2
2479,104,20,124,51,849,249,211,82,534,cache_la_poudre,10,2
2480,18,7,60,11,90,215,226,148,376,cache_la_poudre,10,2
2480,252,25,162,47,404,158,248,222,95,cache_la_poudre,10,2
2480,272,26,150,53,1332,142,237,229,702,cache_la_poudre,10,2
2480,291,14,42,10,659,180,237,197,514,cache_la_poudre,10,2
2480,297,13,60,12,607,182,235,193,524,cache_la_poudre,10,2
2481,34,15,30,10,1128,216,205,120,805,cache_la_poudre,6,2
2481,74,11,60,18,30,233,219,116,319,cache_la_poudre,6,2
2481,104,14,67,23,741,242,222,107,430,cache_la_poudre,10,2
2481,334,16,90,28,210,181,217,174,218,cache_la_poudre,10,2
2482,66,23,120,54,807,235,188,74,488,cache_la_poudre,10,2
2482,88,16,134,54,870,242,211,93,558,cache_la_poudre,10,2
2482,287,10,67,13,120,193,240,187,362,cache_la_poudre,10,2
2482,345,24,255,113,816,165,194,163,1482,cache_la_poudre,10,2
2484,59,4,30,7,497,223,231,143,430,cache_la_poudre,10,2
2484,285,25,120,57,1340,142,230,224,825,cache_la_poudre,10,2
2484,287,23,210,98,832,151,232,218,1503,cache_la_poudre,10,2
2484,338,15,120,34,240,186,217,170,212,cache_la_poudre,10,2
2485,274,24,120,51,1323,149,238,225,854,cache_la_poudre,10,2
2486,42,7,90,23,0,222,224,137,382,cache_la_poudre,6,2
2486,124,15,95,32,713,245,227,107,400,cache_la_poudre,10,2
2486,257,25,175,60,450,155,246,224,180,cache_la_poudre,10,2
2487,51,13,67,20,30,226,212,118,384,cache_la_poudre,6,2
2487,73,11,0,0,638,233,218,115,1087,cache_la_poudre,10,2
2487,255,11,42,2,1158,194,247,191,942,cache_la_poudre,6,2
2487,281,23,210,101,859,150,235,221,1476,cache_la_poudre,10,2
2487,316,27,234,103,781,140,206,201,1290,cache_la_poudre,10,2
2487,324,12,30,7,499,188,226,178,497,cache_la_poudre,10,2
2487,330,8,0,0,484,202,231,168,470,cache_la_poudre,10,2
2487,332,23,270,123,828,160,204,180,1454,cache_la_poudre,10,2
2488,26,6,0,0,376,217,227,146,469,cache_la_poudre,10,2
2488,272,23,210,102,886,153,239,222,1449,cache_la_poudre,10,2
2488,286,26,150,61,1348,138,228,225,759,cache_la_poudre,10,2
2488,302,15,67,21,150,178,232,194,323,cache_la_poudre,10,2
2489,79,12,42,6,443,236,217,110,391,cache_la_poudre,10,2
2490,39,10,95,27,0,221,219,132,404,cache_la_poudre,6,2
2490,294,26,95,28,488,140,224,220,1074,cache_la_poudre,4,2
2490,317,21,120,30,799,159,216,195,631,cache_la_poudre,10,2
2490,352,14,124,21,134,195,215,157,418,cache_la_poudre,10,2
2491,73,15,30,8,417,237,209,100,408,cache_la_poudre,10,2
2491,277,11,30,-3,1120,190,242,191,959,cache_la_poudre,6,2
2492,13,5,0,0,350,215,229,151,488,cache_la_poudre,10,2
2492,280,23,180,59,351,150,235,222,85,cache_la_poudre,10,2
2492,316,20,95,29,757,163,219,194,600,cache_la_poudre,10,2
2493,17,8,124,30,30,214,223,146,424,cache_la_poudre,6,2
2493,64,8,0,0,277,228,224,129,553,cache_la_poudre,10,2
2493,79,19,124,26,626,241,202,83,330,cache_la_poudre,10,2
2493,97,18,108,21,579,246,211,88,335,cache_la_poudre,10,2
2493,106,31,30,18,582,254,186,36,1146,cache_la_poudre,4,2
2493,129,19,124,33,685,247,226,99,371,cache_la_poudre,10,2
2493,242,21,190,60,446,174,252,210,153,cache_la_poudre,10,2
2493,274,24,180,66,1302,150,238,224,693,cache_la_poudre,10,2
2493,312,14,42,6,474,183,229,187,510,cache_la_poudre,10,2
2493,346,4,30,5,366,212,233,159,511,cache_la_poudre,10,2
2494,276,7,30,0,297,200,242,181,573,cache_la_poudre,10,2
2494,348,25,255,120,824,164,190,157,1521,cache_la_poudre,10,2
2494,351,18,30,9,1107,186,207,158,836,cache_la_poudre,6,2
2495,62,10,30,7,335,229,218,121,467,cache_la_poudre,10,2
2495,221,16,150,35,865,198,254,188,666,cache_la_poudre,10,2
2495,232,20,90,35,860,183,253,203,612,cache_la_poudre,10,2
2496,23,12,153,27,90,212,214,136,470,cache_la_poudre,6,2
2496,262,13,124,21,1243,187,246,198,931,cache_la_poudre,10,2
2496,278,13,127,27,182,185,242,197,371,cache_la_poudre,10,2
2496,283,23,150,69,1355,150,234,220,816,cache_la_poudre,10,2
2497,269,20,150,70,1328,164,243,216,845,cache_la_poudre,10,2
2497,292,22,134,45,979,153,230,214,658,cache_la_poudre,10,2
2497,306,15,150,28,162,177,230,193,400,cache_la_poudre,10,2
2498,0,6,134,35,0,212,229,155,446,cache_la_poudre,6,2
2498,267,16,134,34,1271,178,245,205,902,cache_la_poudre,10,2
2498,287,25,180,71,1310,144,229,222,721,cache_la_poudre,10,2
2498,304,16,108,28,576,174,230,196,569,cache_la_poudre,10,2
2498,317,28,255,111,751,136,203,201,1266,cache_la_poudre,10,2
2499,72,11,30,5,283,233,218,116,511,cache_la_poudre,10,2
2499,249,13,108,15,1205,191,249,195,953,cache_la_poudre,10,2
2499,291,14,67,16,450,181,237,196,525,cache_la_poudre,10,2
2499,344,12,134,40,240,196,222,164,272,cache_la_poudre,10,2
2500,27,8,150,31,30,217,223,142,474,cache_la_poudre,6,2
2500,278,24,242,114,926,149,236,223,1409,cache_la_poudre,10,2
2500,317,16,67,20,492,176,224,187,537,cache_la_poudre,10,2
2501,70,12,60,16,323,233,215,112,446,cache_la_poudre,10,2
2501,91,21,95,51,726,247,202,75,402,cache_la_poudre,10,2
2501,117,19,175,34,618,248,219,92,306,cache_la_poudre,10,2
2501,343,21,270,137,785,173,204,166,1398,cache_la_poudre,10,2
2502,40,12,162,33,60,221,213,124,484,cache_la_poudre,6,2
2502,272,23,240,116,899,154,240,222,1436,cache_la_poudre,10,2
2502,335,22,258,134,834,164,204,176,1510,cache_la_poudre,10,2
2503,111,17,127,20,474,247,219,95,309,cache_la_poudre,10,2
2503,279,12,60,9,319,186,242,195,594,cache_la_poudre,10,2
2504,10,13,182,35,67,205,213,143,497,cache_la_poudre,6,2
2504,293,17,124,39,708,170,234,203,603,cache_la_poudre,10,2
2504,321,7,150,45,240,203,234,170,301,cache_la_poudre,10,2
2505,298,15,85,18,469,177,234,196,551,cache_la_poudre,10,2
2505,299,16,134,37,595,172,232,199,598,cache_la_poudre,10,2
2505,306,14,212,65,330,179,231,192,247,cache_la_poudre,10,2
2505,315,14,60,2,234,183,228,185,684,cache_la_poudre,10,2
2505,320,17,95,28,511,174,221,186,564,cache_la_poudre,10,2
2505,352,14,180,36,85,195,215,157,485,cache_la_poudre,10,2
2506,245,19,228,73,469,179,251,207,150,cache_la_poudre,10,2
2506,254,17,228,73,488,179,249,207,190,cache_la_poudre,10,2
2507,58,9,30,0,959,227,221,128,977,cache_la_poudre,6,2
2507,355,6,0,0,1015,211,230,157,990,cache_la_poudre,6,2
2508,4,7,67,0,920,211,226,153,1001,cache_la_poudre,6,2
2508,15,12,30,7,1034,209,215,142,931,cache_la_poudre,6,2
2508,61,10,0,0,212,228,220,124,624,cache_la_poudre,10,2
2508,99,31,60,21,703,252,179,30,1052,cache_la_poudre,4,2
2508,105,18,134,58,685,248,215,89,362,cache_la_poudre,6,2
2508,304,18,134,45,750,169,228,199,631,cache_la_poudre,10,2
2508,316,20,180,48,834,164,219,194,691,cache_la_poudre,10,2
2509,223,16,180,49,907,198,253,189,700,cache_la_poudre,10,2
2509,265,15,134,49,927,181,245,202,655,cache_la_poudre,10,2
2509,274,23,210,76,379,151,238,223,108,cache_la_poudre,10,2
2510,11,12,42,9,1044,207,214,144,902,cache_la_poudre,6,2
2510,80,11,90,22,256,234,221,118,474,cache_la_poudre,6,2
2510,318,29,277,124,721,132,200,201,1242,cache_la_poudre,10,2
2511,13,14,108,34,1034,206,211,141,741,cache_la_poudre,6,2
2511,59,11,90,19,228,228,218,121,499,cache_la_poudre,6,2
2511,228,13,67,10,1060,200,252,187,1034,cache_la_poudre,6,2
2511,274,7,247,71,330,202,242,179,285,cache_la_poudre,6,2
2511,278,24,283,129,875,146,235,224,1302,cache_la_poudre,10,2
2511,288,24,210,84,1282,146,230,220,713,cache_la_poudre,10,2
2511,290,13,240,78,443,184,238,194,124,cache_la_poudre,10,2
2511,293,5,256,65,300,205,239,173,313,cache_la_poudre,6,2
2511,327,8,216,52,256,201,231,170,331,cache_la_poudre,6,2
2512,277,12,242,79,458,188,242,194,134,cache_la_poudre,10,2
2512,315,6,108,4,882,205,235,170,1027,cache_la_poudre,6,2
2513,42,7,150,30,285,222,224,137,391,cache_la_poudre,6,2
2513,62,12,0,0,170,230,215,115,674,cache_la_poudre,10,2
2513,72,28,67,38,592,238,173,46,1146,cache_la_poudre,10,2
2513,103,6,162,30,430,231,232,134,277,cache_la_poudre,6,2
2513,254,10,190,29,1234,198,247,187,883,cache_la_poudre,6,2
2513,317,8,30,0,170,199,233,174,716,cache_la_poudre,10,2
2513,351,15,210,44,60,192,213,158,513,cache_la_poudre,6,2
2514,24,13,108,29,1024,212,212,134,759,cache_la_poudre,6,2
2514,52,12,42,6,968,226,215,121,947,cache_la_poudre,6,2
2514,119,18,175,64,644,248,222,95,323,cache_la_poudre,6,2
2514,254,17,85,19,1127,179,249,207,1001,cache_la_poudre,6,2
